Local Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
01/02/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,C,B,A,A,A,A,A,A
02/02/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,C,C,B,B,B,A,A,A,A,A
03/02/2024,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A,A,A,A,A
04/02/2024,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A,A,A,A,A
05/02/2024,A,A,A,A,A,A,A,C,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A
06/02/2024,A,A,A,A,A,A,A,C,B,B,B,B,B,B,B,B,C,B,A,A,A,A,A,A
07/02/2024,A,A,A,A,A,A,A,B,C,B,B,B,B,B,B,B,C,B,A,A,A,A,A,A
08/02/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,C,B,B,A,A,A,A,A,A
09/02/2024,A,A,A,A,A,A,A,B,B,B,B,B,C,C,C,C,B,B,A,A,A,A,A,A
10/02/2024,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A,A,A,A,A
11/02/2024,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A,A,A,A,A
12/02/2024,A,A,A,A,A,A,A,C,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A
13/02/2024,A,A,A,A,A,A,A,C,C,B,B,B,B,B,B,C,C,B,A,A,A,A,A,A
14/02/2024,A,A,A,A,A,A,A,C,C,B,B,B,B,B,B,C,C,B,A,A,A,A,A,A
15/02/2024,A,A,A,A,A,A,A,C,B,B,B,B,B,B,B,B,C,B,A,A,A,A,A,A
16/02/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,C,C,C,B,A,A,A,A,A,A
17/02/2024,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A,A,A,A,A
18/02/2024,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A
19/02/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A
20/02/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,C,C,B,A,A,A,A,A,A
21/02/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A
22/02/2024,A,A,A,A,A,A,A,B,B,B,B,B,B,B,C,C,C,B,A,A,A,A,A,A
23/02/2024,A,A,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,B,B,A,A,A,A,A
24/02/2024,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A,A,A,A,A
25/02/2024,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A
26/02/2024,A,A,A,A,A,A,A,C,C,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A
27/02/2024,A,A,A,A,A,A,A,C,C,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A
28/02/2024,A,A,A,A,A,A,A,B,C,B,B,B,B,B,B,C,C,B,A,A,A,A,A,A
29/02/2024,A,A,A,A,A,A,A,C,C,B,B,B,B,C,B,C,C,B,A,A,A,A,A,A
